epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,287.51,0.89581,0.758,0.89573,0.61713,0.51485,0.62476,0.33828,1.7512,1.71528,1.37033,0.000668375,0.000668375,0.000668375
143,289.393,0.86624,0.805,0.92303,0.61713,0.51485,0.62476,0.33828,1.7512,1.71528,1.37033,0.00066425,0.00066425,0.00066425
144,291.394,0.8589,0.76508,0.87758,0.6324,0.51786,0.6061,0.35541,1.74763,1.62609,1.40645,0.000660125,0.000660125,0.000660125
145,293.361,0.83951,0.76868,0.89909,0.6324,0.51786,0.6061,0.35541,1.74763,1.62609,1.40645,0.000656,0.000656,0.000656
146,295.295,1.00652,0.7852,0.9142,0.6324,0.51786,0.6061,0.35541,1.74763,1.62609,1.40645,0.000651875,0.000651875,0.000651875
147,297.395,0.92279,0.83291,0.924,0.6324,0.51786,0.6061,0.35541,1.74763,1.62609,1.40645,0.00064775,0.00064775,0.00064775
148,299.294,0.93386,0.89497,0.92035,0.64351,0.51786,0.6103,0.3576,1.67382,1.56425,1.36285,0.000643625,0.000643625,0.000643625
149,301.212,0.86402,0.80482,0.87343,0.64351,0.51786,0.6103,0.3576,1.67382,1.56425,1.36285,0.0006395,0.0006395,0.0006395
150,303.193,1.06387,0.85615,0.95601,0.64351,0.51786,0.6103,0.3576,1.67382,1.56425,1.36285,0.000635375,0.000635375,0.000635375
151,305.129,0.83022,0.75548,0.91278,0.64351,0.51786,0.6103,0.3576,1.67382,1.56425,1.36285,0.00063125,0.00063125,0.00063125
152,307.194,0.91994,0.79101,0.92413,0.63461,0.49921,0.60773,0.35551,1.70421,1.56434,1.40161,0.000627125,0.000627125,0.000627125
153,309.095,0.85267,0.77414,0.92814,0.63461,0.49921,0.60773,0.35551,1.70421,1.56434,1.40161,0.000623,0.000623,0.000623
